,country,burn_2002,burn_2004,drowning_2002,drowning_2004,fall_2002,fall_2004,poisoning_2002,poisoning_2004,total_2002,total_2004
50,Dominica,0.7984220999999999,0.505249441,9.893225,3.068333864,3.212226,1.222314596,0.7849472,4.171133837369793,14.688820299999998,5.5808451009999995
51,Dominican Rep.,0.7095413,0.5085153579999999,0.387115,1.131628633,0.3562116,2.1186933519999998,0.28993159999999996,0.17756211800000002,1.7427995000000003,4.048768943
52,Ecuador,1.4363489999999999,1.12481916,4.331627,4.410489559,4.751126,4.376473904,2.388259,1.8566915990000001,12.907361,12.300041623
53,Egypt,0.7415208000000001,0.7594843509999999,4.095168,4.288247585,2.6078799999999998,2.6377022269999997,2.3469990000000003,2.309987783,9.7915678,10.032433163
54,El Salvador,0.8139411,0.551514924,4.976488,4.346722126,4.371328,5.26265192,0.2590109,0.429558247,10.420767999999999,10.41989987
55,Equatorial Guinea,6.740558999999999,5.924635887000001,6.9761,4.837332249,5.5820099999999995,4.629140854,6.832407000000001,5.4091405870000004,26.131075999999997,22.22351599
56,Eritrea,4.224055,4.087169647,9.689598,7.277263165,3.47787,3.602208853,6.616403999999999,6.004630089,24.007927,21.583045665
57,Estonia,9.986769,8.51604557,9.421692,5.877384663,8.242321,6.871423721,27.940690000000004,23.41197968,55.591472,49.20554395400001
58,Ethiopia,4.576916000000001,4.444065571,5.0088230000000005,4.516382694,3.748736,3.840878725,5.052752,5.038947582,18.387227000000003,17.854078989999998
59,Fiji,5.213152,4.785268783999999,6.576886,5.708872795,0.0762395,0.043011017,5.376029,5.035852909,17.242306499999998,15.913181596000001
60,Finland,0.7688337,1.3236021999999998,2.370722,2.229737997,10.747910000000001,11.48399925,9.005546,11.17701054,22.893011700000002,24.042885447000003
61,France,0.6146836999999999,0.638894618,0.8292216,1.431174278,7.538716,4.636332035,0.730176,1.122440696,9.7127973,7.436576931
62,Gabon,5.599558,5.698945045,5.820488,4.326575756,5.149407,5.091026783,6.952560000000001,5.300726891,23.522013,22.069107584
63,Gambia,6.144121,4.750646591000001,6.680369000000001,3.8314132689999996,5.190156,3.930907726,6.587919,4.4302997589999995,24.602565,19.100886585999998
64,Georgia,1.524614,1.091043234,1.186092,0.842588365,0.23725860000000001,0.614108324,0.9184131,0.451612502,3.8663776999999997,3.466153023
65,Germany,0.4332326,0.42466518299999995,0.5902155,0.45849704700000005,4.398823,4.830601215,0.6664206,0.805428684,6.088691700000001,6.380184045
66,Ghana,5.66535,5.087738991,6.018633,3.77325201,4.761881,4.059474468,5.766388,4.457674503,22.212252,18.686853469
67,Greece,0.6365196999999999,0.541194916,2.805215,2.509155035,3.39626,3.034126043,2.439875,3.093907118,9.2778697,8.524350993999999
68,Grenada,1.49318,1.382776856,12.133989999999999,11.305051800000001,5.388952,4.464422703,6.075341000000001,5.7564625739999995,25.091463,23.227592359000003
69,Guatemala,0.2805381,1.051036954,1.359056,1.338925004,7.328953,4.509347916,0.522908,1.705551386,9.4914551,7.422217874
70,Guinea,6.687784,5.974633217,7.686021,5.168026447,5.983692,4.693752289,8.118891,6.29611969,28.476388,23.955302953
71,Guinea-Bissau,5.627008,4.502800941,6.642478,3.671885252,4.744575,3.472041845,6.21892,4.164939404,23.232981000000002,17.865648038
72,Guyana,0.8390428,1.159045219,4.7120370000000005,5.519557953,16.48476,3.7851762769999997,0.5045692,0.380094618,22.540409000000004,10.968348649000001
73,Haiti,2.197104,1.185319901,0.13344679999999998,1.6433936359999999,3.5598120000000004,1.421693921,0.3348967,0.508864701,6.2252595,4.585304158
74,Honduras,0.6900219,0.6299084420000001,3.571065,3.6400437360000004,1.290347,1.2765049929999999,0.8143135,0.798776865,6.365747399999999,6.360770671
75,Hungary,1.286969,1.286989927,2.0878419999999998,1.6289474959999999,17.531489999999998,16.64228058,0.7012735999999999,1.020904303,21.607574599999996,20.259491603
76,Iceland,0.5424856,0.7025493979999999,0.8430373999999999,0.722100437,3.3844830000000004,3.5069057939999997,3.027951,2.2814133169999997,7.797957,7.959506629
77,India,15.095629999999998,14.32761574,6.934010000000001,6.667722225,12.60013,12.174483300000002,9.291405000000001,8.901751518,43.921175000000005,42.46122626500001
78,Indonesia,6.520606,6.127605438,5.108331,4.779739857,8.662262,8.024801254,4.26468,3.9551310539999998,24.555878999999997,23.196826549
